name,lat,lon,population
г. Новосибирск,55.030187,82.920426,1633595
г. Екатеринбург,56.8387061,60.6054943,1544376
г. Казань,55.7944326,49.1115164,1308660
г. Нижний Новгород,56.326794,44.006495,1226076
г. Челябинск,55.1602292,61.4007614,1189525
г. Красноярск,56.0095312,92.8525234,1187771
г. Самара,53.1951774,50.1069625,1173299
г. Уфа,54.734856,55.9577802,1144809
г. Ростов-на-Дону,47.2180329,39.6902714,1142162
г. Омск,54.9849581,73.3675684,1125695
г. Краснодар,45.035453,38.975301,1099344
г. Воронеж,51.6593943,39.196922,1057681
г. Пермь,58.0102668,56.2342725,1034002
г. Волгоград,48.7071653,44.5170212,1028036
г. Саратов,51.533557,46.034257,901361
г. Тюмень,57.1531178,65.5343535,847488
г. Тольятти,53.5205003,49.3895011,684709
г. Барнаул,53.3479774,83.7798977,630877
г. Ижевск,56.8528384,53.211509,623472
г. Махачкала,42.9849039,47.5045541,623254
г. Хабаровск,48.4648124,135.0598539,617441
г. Ульяновск,54.3079032,48.3748473,617352
г. Иркутск,52.2863483,104.2806793,617264
г. Владивосток,43.1163208,131.8824988,603519
г. Ярославль,57.6216293,39.8978921,577279
г. Кемерово,55.3910176,86.0469193,557119
г. Томск,56.4846736,84.9482929,556478
г. Набережные Челны,55.6948843,52.3279115,548434
г. Ставрополь,45.0444563,41.9691349,547443
г. Оренбург,51.7875335,55.1017803,543654
г. Новокузнецк,53.7943459,87.2142908,537480
г. Рязань,54.6255345,39.7359162,528599
г. Балашиха,55.796991,37.938104,520962
г. Пенза,53.1753947,45.0347408,501109
г. Чебоксары,56.125485,47.377328,497807
г. Липецк,52.6101389,39.5947287,496403
г. Калининград,54.7074298,20.5073482,490449
г. Астрахань,46.3656435,48.0559229,475629
г. Тула,54.1918898,37.6153644,473622
г. Киров,58.6034972,49.6680445,468212
г. Сочи,43.5855182,39.7229922,466078
г. Курск,51.7303825,36.1925546,440052
г. Улан-Удэ,51.8334492,107.584068,437565
г. Тверь,56.8586556,35.9118279,416219
г. Магнитогорск,53.4072599,58.9791822,410594
г. Сургут,61.2541492,73.396236,396443
г. Брянск,53.2420053,34.3653002,379152
г. Иваново,56.9994066,40.9729071,361644
г. Якутск,62.0280605,129.7324858,355443
г. Владимир,56.1280444,40.4082983,349951
г. Симферополь,44.9482789,34.1001275,340540
г. Белгород,50.5975582,36.5858422,339978
г. Нижний Тагил,57.9102289,59.9814188,338966
г. Калуга,54.506025,36.2516145,337058
г. Чита,52.0338828,113.499487,334427
г. Грозный,43.3178923,45.6981421,328533
г. Волжский,48.7979775,44.7462572,321479
город Смоленск,54.782635,32.045251,316570
г. Подольск,55.4389616,37.5703052,314934
г. Саранск,54.1808234,45.1863143,314871
г. Вологда,59.220501,39.891523,313944
г. Курган,55.4443683,65.3162142,310911
г. Череповец,59.1268743,37.9090556,305185
г. Орёл,52.9671928,36.0695725,303169
г. Архангельск,64.53939,40.5170011,301199
